P10_001N,P10_002N,P10_003N,P10_004N,P10_005N,P10_006N,P10_007N,P10_008N,P10_009N,state,county,tract,block group
0,0,0,0,0,0,0,0,0,42,101,036901,1
3,2,2,0,0,0,0,0,1,42,101,036901,2
0,0,0,0,0,0,0,0,0,42,101,036901,3
0,0,0,0,0,0,0,0,0,42,101,036901,4
0,0,0,0,0,0,0,0,0,42,101,036902,1
1795,1632,924,126,3,504,2,73,163,42,101,036902,2
780,750,225,183,1,324,1,16,30,42,101,036902,3
757,688,330,47,1,275,0,35,69,42,101,036902,4
1569,1462,610,253,0,510,0,89,107,42,101,036902,5
1477,1392,626,133,0,608,1,24,85,42,101,036902,6
856,825,713,4,0,92,0,16,31,42,101,037200,1
1236,1200,812,20,1,320,0,47,36,42,101,037200,2
637,622,514,11,1,74,0,22,15,42,101,037200,3
927,891,240,159,11,412,0,69,36,42,101,037200,4
1500,1473,1404,6,0,59,0,4,27,42,101,037300,1
1819,1800,1683,19,1,91,0,6,19,42,101,037300,2
1233,1159,510,454,13,122,0,60,74,42,101,037300,3
426,414,245,33,0,133,0,3,12,42,101,037300,4
1764,1677,667,938,0,43,0,29,87,42,101,037500,1
1583,1526,977,389,0,131,0,29,57,42,101,037500,2
744,698,177,222,17,243,0,39,46,42,101,037600,1
1123,1034,580,164,8,186,1,95,89,42,101,037600,2
1465,1356,847,151,8,316,1,33,109,42,101,037600,3
1307,1287,898,324,6,42,1,16,20,42,101,037700,1
1800,1630,259,932,10,153,0,276,170,42,101,037700,2
686,664,73,581,0,6,0,4,22,42,101,011500,1
699,670,24,632,1,3,0,10,29,42,101,011400,4
1146,1110,9,1075,3,4,1,18,36,42,101,011400,5
814,780,40,708,4,10,1,17,34,42,101,011400,6
894,877,68,802,0,2,0,5,17,42,101,011500,2
905,874,49,794,1,8,0,22,31,42,101,011500,3
729,703,38,648,3,4,0,10,26,42,101,011500,4
988,971,610,59,11,232,2,57,17,42,101,011700,1
782,734,228,479,1,16,0,10,48,42,101,011700,2
662,635,82,541,4,5,2,1,27,42,101,011800,1
843,829,22,796,0,7,0,4,14,42,101,011800,2
882,862,13,836,4,1,0,8,20,42,101,011800,3
480,465,7,440,0,0,0,18,15,42,101,011800,4
1084,1039,52,963,2,8,0,14,45,42,101,011800,5
549,521,37,477,5,0,0,2,28,42,101,011800,6
1016,979,29,925,1,11,0,13,37,42,101,011900,1
1310,1249,53,1176,4,14,0,2,61,42,101,011900,2
697,668,6,644,0,7,0,11,29,42,101,011900,3
464,450,88,323,0,37,0,2,14,42,101,011900,4
452,442,10,431,1,0,0,0,10,42,101,011900,5
1733,1655,516,897,4,198,0,40,78,42,101,012000,1
1434,1385,349,988,0,27,0,21,49,42,101,012100,1
1064,994,263,609,3,94,1,24,70,42,101,012100,2
1186,1119,376,546,3,172,0,22,67,42,101,012201,1
736,700,324,276,3,69,0,28,36,42,101,012201,2
850,788,192,471,0,103,0,22,62,42,101,012201,3
618,562,265,136,0,151,1,9,56,42,101,012203,1
24,15,0,5,1,7,2,0,9,42,101,012204,1
1181,1141,247,834,0,41,0,19,40,42,101,012204,2
853,807,117,633,2,33,3,19,46,42,101,012204,3
1235,1181,253,851,0,59,0,18,54,42,101,012204,4
1435,1330,975,99,0,237,0,19,105,42,101,012501,1
3,3,0,3,0,0,0,0,0,42,101,012501,2
602,560,361,44,0,144,3,8,42,42,101,012501,3
1493,1413,888,245,5,169,0,106,80,42,101,034702,1
1570,1494,729,301,4,369,0,91,76,42,101,034701,2
1784,1601,946,266,3,257,0,129,183,42,101,034701,3
